balance,change,date
283201.78,0,2022-07-10
284422.58,1220,2022-07-12
286055.05,1632,2022-07-13
285738.08,-316,2022-07-14
286121.32,383,2022-07-15
286121.32,0,2022-07-15
286543.11,421,2022-07-15
286543.11,0,2022-07-16
287166.46,623,2022-07-18
287039.72,-126,2022-07-19
287347.9,308,2022-07-20
286303.84,-1044,2022-07-21
288044.02,1740,2022-07-23
289310.11,1266,2022-07-26
289439.63,129,2022-07-27
290151.29,711,2022-07-28
290548.38,397,2022-07-29
291012.58,464,2022-08-01
291765.93,753,2022-08-02
292020.02,254,2022-08-03
292346.87,326,2022-08-04
292557.1,210,2022-08-05
293411.53,854,2022-08-06
293411.53,0,2022-08-08
293936.09,524,2022-08-09
319440.41,25504,2022-08-11
320350.78,910,2022-08-11
303775.6,-16575,2022-08-17
303775.6,0,2022-08-18
305539.55,1763,2022-08-20
